ts_code,trade_date,open,close,high,low,pre_close,change,pct_chg,swing,vol
SPX,20220912,4083.67,4110.41,4119.28,4083.67,4067.36,43.05,1.06,0.88,2147245.0
SPX,20220909,4022.94,4067.36,4076.81,4022.94,4006.18,61.18,1.53,1.34,2097275.0
SPX,20220908,3959.94,4006.18,4010.5,3944.81,3979.87,26.31,0.66,1.65,2290058.0
SPX,20220907,3909.43,3979.87,3987.89,3906.03,3908.19,71.68,1.83,2.09,2209800.0
SPX,20220906,3930.89,3908.19,3942.55,3886.75,3924.26,-16.07,-0.41,1.42,2249694.0
SPX,20220902,3994.66,3924.26,4018.43,3906.21,3966.85,-42.59,-1.07,2.83,2083182.0
SPX,20220901,3936.73,3966.85,3970.23,3903.65,3955.0,11.85,0.3,1.68,2303154.0
SPX,20220831,4000.67,3955.0,4015.37,3954.53,3986.16,-31.16,-0.78,1.53,2541475.0
SPX,20220830,4041.25,3986.16,4044.98,3965.21,4030.61,-44.45,-1.1,1.98,2080876.0
SPX,20220829,4034.58,4030.61,4062.99,4017.42,4057.66,-27.05,-0.67,1.12,1893833.0
SPX,20220826,4198.74,4057.66,4203.04,4057.66,4199.12,-141.46,-3.37,3.46,2113424.0
SPX,20220825,4153.26,4199.12,4200.54,4147.59,4140.77,58.35,1.41,1.28,1847593.0
SPX,20220824,4126.55,4140.77,4156.56,4119.97,4128.73,12.04,0.29,0.89,1737028.0
SPX,20220823,4133.09,4128.73,4159.77,4124.03,4137.99,-9.26,-0.22,0.86,1786029.0
SPX,20220822,4195.08,4137.99,4195.08,4129.86,4228.48,-90.49,-2.14,1.54,1976204.0
SPX,20220819,4266.31,4228.48,4266.31,4218.7,4283.74,-55.26,-1.29,1.11,2045646.0
SPX,20220818,4273.13,4283.74,4292.53,4261.98,4274.04,9.7,0.23,0.71,1749458.0
SPX,20220817,4280.4,4274.04,4302.18,4253.08,4305.2,-31.16,-0.72,1.14,1862586.0
SPX,20220816,4290.46,4305.2,4325.28,4277.77,4297.14,8.06,0.19,1.11,1912449.0
SPX,20220815,4269.37,4297.14,4301.79,4256.9,4280.15,16.99,0.4,1.05,1777923.0
SPX,20220812,4225.02,4280.15,4280.47,4219.78,4207.27,72.88,1.73,1.44,1828501.0
SPX,20220811,4227.4,4207.27,4257.91,4201.41,4210.24,-2.97,-0.07,1.34,2080835.0
SPX,20220810,4181.02,4210.24,4211.03,4177.26,4122.47,87.77,2.13,0.82,2240787.0
SPX,20220809,4133.11,4122.47,4137.3,4112.09,4140.06,-17.59,-0.42,0.61,2048974.0
SPX,20220808,4155.93,4140.06,4186.62,4128.97,4145.19,-5.13,-0.12,1.39,2120440.0
SPX,20220805,4115.87,4145.19,4151.58,4107.31,4151.94,-6.75,-0.16,1.07,2027451.0
SPX,20220804,4154.85,4151.94,4161.29,4135.42,4155.17,-3.23,-0.08,0.62,2260188.0
SPX,20220803,4107.96,4155.17,4167.66,4107.96,4091.19,63.98,1.56,1.46,2436477.0
SPX,20220802,4104.21,4091.19,4140.47,4079.81,4118.63,-27.44,-0.67,1.47,2262201.0
SPX,20220801,4112.38,4118.63,4144.95,4096.02,4130.29,-11.66,-0.28,1.18,2289873.0
SPX,20220729,4087.33,4130.29,4140.15,4079.22,4072.43,57.86,1.42,1.5,2894154.0
SPX,20220728,4026.13,4072.43,4078.95,3992.97,4023.61,48.82,1.21,2.14,2544391.0
SPX,20220727,3951.43,4023.61,4039.56,3951.43,3921.05,102.56,2.62,2.25,2457907.0
SPX,20220726,3953.22,3921.05,3953.22,3910.74,3966.84,-45.79,-1.15,1.07,2136983.0
SPX,20220725,3965.72,3966.84,3975.3,3943.46,3961.63,5.21,0.13,0.8,1945715.0
SPX,20220722,3998.43,3961.63,4012.44,3938.86,3998.95,-37.32,-0.93,1.84,2224927.0
SPX,20220721,3955.47,3998.95,3999.29,3927.64,3959.9,39.05,0.99,1.81,2498029.0
SPX,20220720,3935.32,3959.9,3974.13,3922.03,3936.69,23.21,0.59,1.32,2344933.0
SPX,20220719,3860.73,3936.69,3939.81,3860.73,3830.85,105.84,2.76,2.06,2384285.0
SPX,20220718,3883.79,3830.85,3902.44,3818.63,3863.16,-32.31,-0.84,2.17,2194525.0
